Subbrbs;jpt_kod_je
Z¹bki;1434031
Marki;1434021
Koby³ka;1434011
Zielonka;1434041
Wo³omin;1434123
Radzymin;1434093
Nieporêt;1408032
Legionowo;1408011
Piastów;1421011
Izabelin;1432022
Podkowa Leœna;1405021
Konstancin-Jeziorna;1418023
Raszyn;1421062
Jab³onna;1408022
Stare Babice;1432072
Wieliszew;1408052
Nowy Dwór Mazowiecki;1414011
Czosnów;1414022
Góra Kalwaria;1418013
Józefów;1417011
Wawer;1465148
Rembertów;1465098
¯oliborz;1465198
Praga-Po³udnie;1465078
Pruszków;1421021
Brwinów;1421033
Micha³owice;1421042
Nadarzyn;1421052
Mokotów;1465058
Targówek;1465118
Wola;1465188
Ochota;1465068
Wilanów;1465168
Ursynów;1465138
Weso³a;1465158
Sulejówek;1412151
Lesznowola;1418032
Piaseczno;1418043
Bia³o³êka;1465038
Bemowo;1465028
W³ochy;1465178
Bielany;1465048
Halinów;1412073
Wi¹zowna;1417082
B³onie;1432013
O¿arów Mazowiecki;1432063
£omianki;1432053
Milanówek;1405011
Grodzisk Mazowiecki;1405043
Œródmieœcie;1465108
Praga-Pó³noc;1465088
Ursus;1465128
